#L TT EE BB TE PP TP EP WW WP WT WE FF FP FW FT FE
1.000000e+00 1.003900e+03 0.000000e+00 0.000000e+00 0.000000e+00 3.787600e-08 2.794400e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 1.035400e+03 3.460800e-02 0.000000e+00 2.806300e+00 5.113100e-08 3.015700e-03 -1.310500e-05 2.847173e-14 2.847173e-14 2.847173e-14 2.847173e-14 6.273272e-15 6.273272e-15 6.273272e-15 6.273272e-15 6.273272e-15
3.000000e+00 9.806000e+02 4.744600e-02 0.000000e+00 3.220200e+00 6.207600e-08 3.016600e-03 -1.460200e-05 6.228587e-14 6.228587e-14 6.228587e-14 6.228587e-14 3.144244e-14 3.144244e-14 3.144244e-14 3.144244e-14 3.144244e-14
4.000000e+00 9.277800e+02 4.423400e-02 0.000000e+00 3.086600e+00 7.147000e-08 2.946200e-03 -1.304100e-05 1.071497e-13 1.071497e-13 1.071497e-13 1.071497e-13 9.838484e-14 9.838484e-14 9.838484e-14 9.838484e-14 9.838484e-14
5.000000e+00 8.877700e+02 3.188900e-02 0.000000e+00 2.684000e+00 7.961700e-08 2.847200e-03 -9.668800e-06 1.619446e-13 1.619446e-13 1.619446e-13 1.619446e-13 2.378074e-13 2.378074e-13 2.378074e-13 2.378074e-13 2.378074e-13
6.000000e+00 8.600700e+02 1.902700e-02 0.000000e+00 2.203100e+00 8.671800e-08 2.738500e-03 -5.604900e-06 2.255518e-13 2.255518e-13 2.255518e-13 2.255518e-13 4.882107e-13 4.882107e-13 4.882107e-13 4.882107e-13 4.882107e-13
7.000000e+00 8.421300e+02 1.035200e-02 0.000000e+00 1.752900e+00 9.296200e-08 2.629400e-03 -1.789800e-06 2.968956e-13 2.968956e-13 2.968956e-13 2.968956e-13 8.954710e-13 8.954710e-13 8.954710e-13 8.954710e-13 8.954710e-13
8.000000e+00 8.309500e+02 6.190400e-03 0.000000e+00 1.386400e+00 9.848500e-08 2.523400e-03 1.118800e-06 3.750721e-13 3.750721e-13 3.750721e-13 3.750721e-13 1.512434e-12 1.512434e-12 1.512434e-12 1.512434e-12 1.512434e-12
9.000000e+00 8.260400e+02 4.699200e-03 0.000000e+00 1.123400e+00 1.034000e-07 2.420900e-03 2.796000e-06 4.592454e-13 4.592454e-13 4.592454e-13 4.592454e-13 2.398521e-12 2.398521e-12 2.398521e-12 2.398521e-12 2.398521e-12
1.000000e+01 8.246100e+02 4.082600e-03 0.000000e+00 9.594600e-01 1.077700e-07 2.324700e-03 3.237800e-06 5.486794e-13 5.486794e-13 5.486794e-13 5.486794e-13 3.619350e-12 3.619350e-12 3.619350e-12 3.619350e-12 3.619350e-12
1.100000e+01 8.259500e+02 3.522200e-03 0.000000e+00 8.809600e-01 1.117000e-07 2.237000e-03 2.690400e-06 6.426870e-13 6.426870e-13 6.426870e-13 6.426870e-13 5.246363e-12 5.246363e-12 5.246363e-12 5.246363e-12 5.246363e-12
1.200000e+01 8.305500e+02 3.112600e-03 0.000000e+00 8.666200e-01 1.152100e-07 2.155800e-03 1.539900e-06 7.406782e-13 7.406782e-13 7.406782e-13 7.406782e-13 7.356473e-12 7.356473e-12 7.356473e-12 7.356473e-12 7.356473e-12
1.300000e+01 8.368600e+02 2.689100e-03 0.000000e+00 8.949400e-01 1.183500e-07 2.079900e-03 2.170000e-07 8.421050e-13 8.421050e-13 8.421050e-13 8.421050e-13 1.003171e-11 1.003171e-11 1.003171e-11 1.003171e-11 1.003171e-11
1.400000e+01 8.441600e+02 2.633300e-03 0.000000e+00 9.452700e-01 1.211600e-07 2.008400e-03 -8.984300e-07 9.464892e-13 9.464892e-13 9.464892e-13 9.464892e-13 1.335891e-11 1.335891e-11 1.335891e-11 1.335891e-11 1.335891e-11
1.500000e+01 8.526100e+02 2.819600e-03 0.000000e+00 1.005700e+00 1.236900e-07 1.940300e-03 -1.612300e-06 1.053387e-12 1.053387e-12 1.053387e-12 1.053387e-12 1.742934e-11 1.742934e-11 1.742934e-11 1.742934e-11 1.742934e-11
1.600000e+01 8.623900e+02 3.022800e-03 0.000000e+00 1.068600e+00 1.259600e-07 1.874900e-03 -1.824400e-06 1.162420e-12 1.162420e-12 1.162420e-12 1.162420e-12 2.233844e-11 2.233844e-11 2.233844e-11 2.233844e-11 2.233844e-11
1.700000e+01 8.733600e+02 3.345400e-03 0.000000e+00 1.130100e+00 1.279900e-07 1.812400e-03 -1.623700e-06 1.273230e-12 1.273230e-12 1.273230e-12 1.273230e-12 2.818549e-11 2.818549e-11 2.818549e-11 2.818549e-11 2.818549e-11
1.800000e+01 8.845900e+02 3.772000e-03 0.000000e+00 1.190300e+00 1.298200e-07 1.752900e-03 -1.153600e-06 1.385474e-12 1.385474e-12 1.385474e-12 1.385474e-12 3.507333e-11 3.507333e-11 3.507333e-11 3.507333e-11 3.507333e-11
1.900000e+01 8.972900e+02 4.333600e-03 0.000000e+00 1.251300e+00 1.314500e-07 1.696400e-03 -5.988300e-07 1.498838e-12 1.498838e-12 1.498838e-12 1.498838e-12 4.310806e-11 4.310806e-11 4.310806e-11 4.310806e-11 4.310806e-11
