# L TT EE BB TE PP TP EP RR
1.0000000000e+00 1.0039000000e+03 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.7876000000e-08 2.7944000000e-03 0.0000000000e+00 0.0000000000e+00
2.0000000000e+00 1.0354000000e+03 3.4608000000e-02 0.0000000000e+00 2.8063000000e+00 5.1131000000e-08 3.0157000000e-03 -1.3105000000e-05 1.2621017740e-13
3.0000000000e+00 9.8060000000e+02 4.7446000000e-02 0.0000000000e+00 3.2202000000e+00 6.2076000000e-08 3.0166000000e-03 -1.4602000000e-05 9.3728166431e-13
4.0000000000e+00 9.2778000000e+02 4.4234000000e-02 0.0000000000e+00 3.0866000000e+00 7.1470000000e-08 2.9462000000e-03 -1.3041000000e-05 3.3227627534e-12
5.0000000000e+00 8.8777000000e+02 3.1889000000e-02 0.0000000000e+00 2.6840000000e+00 7.9617000000e-08 2.8472000000e-03 -9.6688000000e-06 8.1199614347e-12
6.0000000000e+00 8.6007000000e+02 1.9027000000e-02 0.0000000000e+00 2.2031000000e+00 8.6718000000e-08 2.7385000000e-03 -5.6049000000e-06 1.5927533721e-11
7.0000000000e+00 8.4213000000e+02 1.0352000000e-02 0.0000000000e+00 1.7529000000e+00 9.2962000000e-08 2.6294000000e-03 -1.7898000000e-06 2.7074205865e-11
8.0000000000e+00 8.3095000000e+02 6.1904000000e-03 0.0000000000e+00 1.3864000000e+00 9.8485000000e-08 2.5234000000e-03 1.1188000000e-06 4.1656272544e-11
9.0000000000e+00 8.2604000000e+02 4.6992000000e-03 0.0000000000e+00 1.1234000000e+00 1.0340000000e-07 2.4209000000e-03 2.7960000000e-06 5.9593906475e-11
1.0000000000e+01 8.2461000000e+02 4.0826000000e-03 0.0000000000e+00 9.5946000000e-01 1.0777000000e-07 2.3247000000e-03 3.2378000000e-06 8.0685080071e-11
1.1000000000e+01 8.2595000000e+02 3.5222000000e-03 0.0000000000e+00 8.8096000000e-01 1.1170000000e-07 2.2370000000e-03 2.6904000000e-06 1.0465006209e-10
1.2000000000e+01 8.3055000000e+02 3.1126000000e-03 0.0000000000e+00 8.6662000000e-01 1.1521000000e-07 2.1558000000e-03 1.5399000000e-06 1.3116548011e-10
1.3000000000e+01 8.3686000000e+02 2.6891000000e-03 0.0000000000e+00 8.9494000000e-01 1.1835000000e-07 2.0799000000e-03 2.1700000000e-07 1.5988916307e-10
1.4000000000e+01 8.4416000000e+02 2.6333000000e-03 0.0000000000e+00 9.4527000000e-01 1.2116000000e-07 2.0084000000e-03 -8.9843000000e-07 1.9047756357e-10
1.5000000000e+01 8.5261000000e+02 2.8196000000e-03 0.0000000000e+00 1.0057000000e+00 1.2369000000e-07 1.9403000000e-03 -1.6123000000e-06 2.2259749940e-10
1.6000000000e+01 8.6239000000e+02 3.0228000000e-03 0.0000000000e+00 1.0686000000e+00 1.2596000000e-07 1.8749000000e-03 -1.8244000000e-06 2.5593368125e-10
1.7000000000e+01 8.7336000000e+02 3.3454000000e-03 0.0000000000e+00 1.1301000000e+00 1.2799000000e-07 1.8124000000e-03 -1.6237000000e-06 2.9019318645e-10
1.8000000000e+01 8.8459000000e+02 3.7720000000e-03 0.0000000000e+00 1.1903000000e+00 1.2982000000e-07 1.7529000000e-03 -1.1536000000e-06 3.2510776399e-10
1.9000000000e+01 8.9729000000e+02 4.3336000000e-03 0.0000000000e+00 1.2513000000e+00 1.3145000000e-07 1.6964000000e-03 -5.9883000000e-07 3.6043463114e-10
2.0000000000e+01 9.1014000000e+02 5.1066000000e-03 0.0000000000e+00 1.3134000000e+00 1.3289000000e-07 1.6426000000e-03 -1.3736000000e-07 3.9595624669e-10
2.1000000000e+01 9.2336000000e+02 6.0340000000e-03 0.0000000000e+00 1.3784000000e+00 1.3417000000e-07 1.5918000000e-03 1.1238000000e-07 4.3147941278e-10
2.2000000000e+01 9.3707000000e+02 7.1169000000e-03 0.0000000000e+00 1.4473000000e+00 1.3531000000e-07 1.5443000000e-03 8.2637000000e-08 4.6683395761e-10
2.3000000000e+01 9.5105000000e+02 8.3622000000e-03 0.0000000000e+00 1.5192000000e+00 1.3631000000e-07 1.4995000000e-03 -1.5360000000e-07 5.0187117825e-10
